00:13:a2:00:40:b1:d6:2a,1424398839,19-02-2015 23:20:39
00:13:a2:00:40:b1:d6:2a,1424509947,21-02-2015 06:12:27
00:13:a2:00:40:b1:d6:2a,1424596443,22-02-2015 06:14:03
00:13:a2:00:40:b1:d6:2a,1424635032,22-02-2015 16:57:12
00:13:a2:00:40:b1:d6:2a,1424746486,23-02-2015 23:54:46
00:13:a2:00:40:b1:d6:2a,1424808174,24-02-2015 17:02:54
00:13:a2:00:40:b1:d6:2a,1424942181,26-02-2015 06:16:21
00:13:a2:00:40:b1:d6:2a,1425016252,27-02-2015 02:50:52
00:13:a2:00:40:b1:d6:2a,1425071780,27-02-2015 18:16:20
00:13:a2:00:40:b1:d6:2a,1425225912,01-03-2015 13:05:12
