00:13:a2:00:40:b1:d6:2a,1424389168,19-02-2015 20:39:28,1424389158,19-02-2015 20:39:18
00:13:a2:00:40:b1:d6:2a,1424499545,21-02-2015 03:19:05,1424499535,21-02-2015 03:18:55
00:13:a2:00:40:b1:d6:2a,1424549185,21-02-2015 17:06:25,1424549175,21-02-2015 17:06:15
00:13:a2:00:40:b1:d6:2a,1424705734,23-02-2015 12:35:34,1424705724,23-02-2015 12:35:24
00:13:a2:00:40:b1:d6:2a,1424750425,24-02-2015 01:00:25,1424750415,24-02-2015 01:00:15
00:13:a2:00:40:b1:d6:2a,1424832724,24-02-2015 23:52:04,1424832714,24-02-2015 23:51:54
00:13:a2:00:40:b1:d6:2a,1424956368,26-02-2015 10:12:48,1424956358,26-02-2015 10:12:38
00:13:a2:00:40:b1:d6:2a,1424977228,26-02-2015 16:00:28,1424977218,26-02-2015 16:00:18
00:13:a2:00:40:b1:d6:2a,1425118392,28-02-2015 07:13:12,1425118382,28-02-2015 07:13:02
00:13:a2:00:40:b1:d6:2a,1425158901,28-02-2015 18:28:21,1425158891,28-02-2015 18:28:11
